@RELATION MetaCritic

@ATTRIBUTE year	INTEGER
@ATTRIBUTE rating	{EC,E,E10,T,M,AO,RP}
@ATTRIBUTE genre	{Action,ActionAdventure,Adventure,Driving,Fighting,MMO,Platformer,Party,Puzzle,RPG,Shooter,Sports,Simulation,Strategy,Misc}
@ATTRIBUTE score	REAL
@ATTRIBUTE userScore	REAL
@ATTRIBUTE class	{PC,Console}

@DATA
2011,E10,Shooter,0.95,8.3,PC
2011,T,Strategy,0.9,8.3,PC
2011,M,Shooter,0.89,8.6,PC
2011,T,Platformer,0.88,8.3,PC
2011,M,ActionAdventure,0.88,8,PC
2011,E10,Action,0.88,7.9,PC
2011,M,RPG,0.87,8.5,PC
2011,M,Shooter,0.87,8,PC
2011,T,?,0.87,5.3,PC
2011,M,Shooter,0.86,6.4,PC
2011,T,Driving,0.86,7.2,PC
2011,M,?,0.85,8.9,PC
2011,?,?,0.85,8.1,PC
2011,T,Misc,0.84,7.8,PC
2011,?,?,0.84,8.8,PC
2011,?,?,0.84,7.9,PC
2011,E10,?,0.84,5.6,PC
2011,T,MMO,0.84,7.4,PC
2011,M,RPG,0.82,4.2,PC
2011,?,?,0.82,8.3,PC
2011,T,Shooter,0.82,7.6,PC
2011,M,Shooter,0.82,7.3,PC
2011,M,?,0.82,8.6,PC
2011,?,?,0.82,8.6,PC
2011,?,?,0.81,7.4,PC
2011,RP,?,0.81,7.4,PC
2011,?,?,0.81,6.6,PC
2011,T,?,0.81,7.3,PC
2011,?,?,0.8,8.5,PC
2011,?,?,0.8,5.9,PC
2011,M,?,0.8,7.7,PC
2011,RP,Strategy,0.8,9.6,PC
2011,?,?,0.8,7.6,PC
2011,?,Platformer,0.8,8.6,PC
2011,T,Adventure,0.79,0,PC
2011,T,Strategy,0.78,6.1,PC
2011,?,Puzzle,0.78,8.4,PC
2011,E10,?,0.77,0,PC
2011,T,Strategy,0.77,8.2,PC
2011,T,Shooter,0.77,8.4,PC
2011,E10,Strategy,0.77,3.6,PC
2011,T,Misc,0.77,5.6,PC
2011,T,?,0.77,6.1,PC
2011,E,Adventure,0.76,8.1,PC
2011,?,RPG,0.76,7.3,PC
2011,E10,ActionAdventure,0.76,6.9,PC
2011,?,Platformer,0.76,0,PC
2011,?,?,0.76,6.6,PC
2011,M,RPG,0.76,6.4,PC
2011,?,?,0.75,8.8,PC
2011,RP,?,0.75,9.3,PC
2011,M,Shooter,0.75,6.8,PC
2011,T,?,0.75,0,PC
2011,M,RPG,0.75,5.3,PC
2011,M,ActionAdventure,0.75,7.8,PC
2011,RP,?,0.74,7.8,PC
2011,?,?,0.74,0,PC
2011,?,?,0.74,9,PC
2011,E,Sports,0.74,5.2,PC
2011,M,Shooter,0.74,6.1,PC
2011,T,?,0.74,8,PC
2011,M,Adventure,0.74,0,PC
2011,?,Strategy,0.74,8,PC
2011,E,?,0.74,0,PC
2011,?,?,0.73,0,PC
2011,E10,ActionAdventure,0.73,7.6,PC
2011,T,MMO,0.72,7.3,PC
2011,?,?,0.72,7.2,PC
2011,T,?,0.72,7.9,PC
2011,T,Driving,0.72,5,PC
2011,T,RPG,0.72,4,PC
2011,E,Shooter,0.72,0,PC
2011,?,?,0.72,8.2,PC
2011,E,?,0.71,5.7,PC
2011,E10,?,0.71,5.7,PC
2011,?,?,0.71,0,PC
2011,T,Misc,0.71,3.5,PC
2011,RP,?,0.71,7.2,PC
2011,?,?,0.7,8.5,PC
2011,E,?,0.7,7.9,PC
2011,T,Misc,0.7,6.7,PC
2011,M,?,0.7,7.3,PC
2011,T,Shooter,0.7,6.3,PC
2011,M,Shooter,0.7,5.6,PC
2011,?,Puzzle,0.69,0,PC
2011,?,MMO,0.69,5.4,PC
2011,T,Strategy,0.69,0,PC
2011,?,?,0.69,6.3,PC
2011,M,ActionAdventure,0.68,5.7,PC
2011,?,?,0.68,0,PC
2011,?,?,0.68,0,PC
2011,?,?,0.67,8.6,PC
2011,?,?,0.67,0,PC
2011,T,MMO,0.67,6.4,PC
2011,?,Sports,0.66,0,PC
2011,M,Shooter,0.66,3.8,PC
2011,M,RPG,0.66,6.1,PC
2011,M,Strategy,0.65,4.6,PC
2011,T,RPG,0.65,6.2,PC
2011,RP,Strategy,0.65,8.6,PC
2011,E10,Driving,0.65,0,PC
2011,E,?,0.65,7.4,PC
2011,T,ActionAdventure,0.64,8.5,PC
2011,T,Action,0.64,4.5,PC
2011,?,Adventure,0.63,7.3,PC
2011,M,?,0.63,6,PC
2011,RP,?,0.63,0,PC
2011,T,Strategy,0.62,0,PC
2011,?,?,0.62,0,PC
2011,M,ActionAdventure,0.62,6.7,PC
2011,E10,RPG,0.62,5.8,PC
2011,?,Shooter,0.61,5.9,PC
2011,M,ActionAdventure,0.61,6.1,PC
2011,?,?,0.61,6.5,PC
